timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
51368647226,-2,0,-1,-4,-3,-1,0,0
51368647226,-3,-1,-1,0,2,0,0,0
51368660756,0,-1,-3,-9,-3,0,0,-1
51368660756,0,1,-1,-1,-4,0,-1,-1
51368662251,0,-2,-2,-2,-3,-1,-3,-2
51368662251,-1,-3,-2,-2,-1,-1,-2,1
51368683085,-1,1,2,3,4,1,-1,0
51368683085,-2,-1,-2,-4,-1,-2,-2,0
51368684753,-1,-1,0,4,1,-3,-1,-3
51368684753,0,-1,-2,-2,-3,-2,-1,-1
51368705691,-2,-2,2,3,2,-2,0,2
51368705691,-1,1,-3,-6,-6,0,-1,-3
51368707396,6,2,-2,3,3,-2,0,1
51368707396,0,0,-2,1,2,-1,-2,-1
51368720721,-3,-2,1,0,-5,-1,-2,-2
51368720721,0,-1,-1,-5,-5,-5,1,-1
51368722248,-2,-2,0,0,2,1,0,1
51368722248,-1,-1,-1,-2,0,-1,-1,-2
51368743305,0,0,-1,-4,-9,-2,-1,-2
51368743305,-2,-6,-3,1,1,1,-2,-2
51368744690,-1,-2,-2,-10,2,0,-2,-1
51368744690,-1,-2,0,11,2,-1,-1,0
51368765592,-1,0,-3,-5,-8,-1,0,1
51368765592,0,-1,-2,-1,-1,1,1,1
51368767222,0,-2,1,4,1,-1,-1,-1
51368767222,0,-2,-2,-1,1,0,-1,-1
51368779987,0,1,-1,2,4,1,1,-1
51368779987,-1,0,-1,-5,-4,-3,-3,-3
51368786789,-1,0,-2,2,2,1,1,1
51368786789,-1,-1,0,-3,-3,-1,-1,1
51368810595,0,-1,-1,-2,-1,-1,-3,-2
51368810595,-1,-2,-1,6,1,-2,-2,-2
51368812235,-3,0,-1,-3,-4,0,-1,-1
51368812235,-1,-1,-3,-3,-4,-1,-3,-1
51368826481,1,-1,-3,-3,0,-1,-2,0
51368826481,1,-1,0,-4,-2,-1,0,0
51368827921,-2,0,0,1,-3,-3,-1,-1
51368827921,-1,-2,-2,0,2,0,-1,-1
51368840190,1,0,-1,2,0,0,-1,-1
51368840190,-2,0,-1,-9,-4,-2,1,-1
51368846812,-2,-1,-1,3,-1,0,-1,-1
51368846812,-1,-1,0,0,-2,-1,-1,-3
51368863331,0,0,1,3,3,0,-1,0
51368863331,-1,-1,0,0,-1,-1,-2,0
51368864680,-1,0,-2,-4,-1,0,1,-1
51368864680,1,-1,0,3,4,-3,0,0
51368885756,-1,0,-4,0,-1,-2,-2,-2
51368885756,0,2,-5,-1,-6,-2,-2,-2
51368887206,-3,-3,-3,-7,-4,-1,-2,0
51368887206,-1,-4,-2,0,0,1,-1,-1
51368908259,-1,0,0,-1,-2,-4,-1,-1
51368908259,1,0,0,3,2,0,-1,0
51368909709,0,-2,-2,0,2,0,0,0
51368909709,-4,1,2,0,-3,1,-1,-1
51368923215,-2,-4,-4,-6,-2,-2,-1,0
51368923215,-2,-4,1,8,1,2,-1,0
51368924868,-6,-7,-6,-5,1,-3,-1,-1
51368924868,3,5,-8,-8,-4,-1,-1,-1
51368945670,1,5,8,2,0,-1,0,-1
51368945670,-1,-1,-4,-3,1,-1,0,0
51368947261,0,-4,-6,-7,-2,-1,-2,0
51368947261,-2,-4,2,4,-1,-1,-2,-1
51368959395,-1,-4,-2,-6,-7,1,0,-2
51368959395,-2,-1,4,3,1,-2,-2,-1
51368968264,0,0,-3,2,-3,-3,-3,-3
51368968264,-3,-3,-3,-9,-1,-2,0,0
51368983200,-1,-6,1,12,2,-3,0,0
51368983200,3,6,-2,-4,0,-1,1,-1
51368984676,1,3,4,-4,-1,-1,0,0
51368984676,2,-2,1,12,2,-1,0,0
51369013299,-1,-2,-2,1,4,3,-2,-2
51369013299,-3,-8,-9,-14,-9,-2,-1,-2
51369014736,1,1,1,2,1,0,-1,-1
51369014736,-1,-1,4,0,-3,-3,0,-3
51369019440,-2,2,3,1,3,-2,-2,0
51369019440,-2,1,3,7,0,-2,-1,0
51369035773,2,2,-4,-3,-2,1,0,-1
51369035773,-3,-4,1,-1,-3,-3,-1,-1
51369043254,-1,0,-2,-1,0,-1,-1,-1
51369043254,0,-1,-3,-3,2,0,1,0
51369044705,-1,-1,1,3,2,0,-2,-3
51369044705,0,-2,-8,-4,2,0,-1,-1
51369065694,-2,-1,1,-1,2,0,-1,0
51369065694,-1,0,-1,-11,-11,1,-2,-1
51369067228,-1,-3,-1,8,7,3,0,-3
51369067228,-2,2,-2,-10,-9,-3,-1,0
51369088386,0,-2,-3,1,-1,-2,-1,0
51369088386,-3,-6,2,1,2,-1,-1,-2
51369089696,2,6,0,-5,-4,-2,1,0
51369089696,-1,0,0,0,5,0,-2,-1
51369110660,-2,-1,-4,-3,-3,-2,-2,-1
51369110660,-1,-1,-1,4,5,0,-1,-1
51369112253,-2,-2,1,6,3,0,0,-1
51369112253,0,0,-2,-10,-14,-4,-1,-1
51369125826,1,0,-5,-7,-5,-2,-1,-1
51369125826,1,-2,0,3,-2,-2,-1,-1
51369127272,0,-2,0,-1,5,-2,-2,-1
51369127272,-1,0,-1,0,4,1,-3,-2
51369139375,2,1,-2,0,-4,-4,0,-2
51369139375,0,3,2,3,-1,-1,-1,-1
51369148366,-3,-4,-4,-11,-7,-1,-3,0
51369148366,0,1,2,7,1,1,2,-3
51369163295,-3,-3,0,-1,0,-2,-1,-1
51369163295,-2,-1,-5,-2,1,-1,-1,-2
51369164682,0,-2,0,-1,-4,-1,0,0
51369164682,-1,-2,-3,-3,-1,0,0,0
51369185775,-1,0,-1,0,1,1,-1,-2
51369185775,-1,0,2,4,-1,-1,-1,-2
51369187245,-3,-1,-1,-6,-2,-3,-1,-1
51369187245,0,-4,-3,-5,-4,-1,-2,0
51369199464,1,0,0,1,0,1,-1,0
51369199464,2,-3,0,-6,-9,-5,-1,-1
51369215797,0,-1,1,8,2,1,-3,0
51369215797,-2,0,-1,-1,1,1,-2,-1
51369223239,0,-1,-1,-5,3,2,0,-1
51369223239,0,-1,1,8,3,0,0,0
51369224752,0,0,1,1,-3,-2,-1,-1
51369224752,-4,0,0,0,0,-2,-1,-2
51369245804,-2,-2,-3,-4,-3,-1,-1,-1
51369245804,-1,1,-3,-4,1,-1,-1,-2
51369247243,-1,1,0,0,-3,-1,-2,-2
51369247243,-2,-1,0,1,1,0,0,-1
51369259333,-1,0,-3,-4,-4,-4,0,0
51369259333,0,0,-2,-5,-3,-2,0,-2
51369268232,0,-1,-2,1,2,0,-1,-1
51369268232,-1,0,0,0,3,-1,1,1
51369283136,1,0,-1,-2,-3,-1,-1,-1
51369283136,-1,0,-1,0,2,-2,-2,-2
51369284756,-1,-2,1,-1,-3,-1,1,-1
51369284756,-2,1,-3,-3,-1,-2,-1,0
51369313371,-1,-2,0,3,2,0,-2,-3
51369313371,-2,-1,-2,1,2,1,-1,0
51369314683,-1,-1,-1,-4,3,-1,-2,-1
51369314683,0,-1,0,-1,-2,0,-3,-2
51369319537,-2,-2,-3,1,-3,-1,-2,-1
51369319537,-3,1,-3,-3,-1,0,-1,0
51369328288,0,-2,-1,0,-3,-2,0,-1
51369328288,1,-1,-1,-1,1,-1,1,0
51369343295,-1,1,0,-3,-4,-1,-2,1
51369343295,-1,-2,0,1,4,0,-2,-1
51369344719,-2,0,0,0,1,-1,-1,1
51369344719,-1,0,0,-1,-4,-2,-2,-1
51369364991,-3,-1,1,8,3,-1,0,-2
51369364991,-2,-1,-1,0,-2,-1,-2,-1
51369365639,1,-1,0,-2,-2,-2,-2,0
51369365639,-1,-2,0,-1,-3,1,-1,1
51369387676,1,2,-3,-6,-4,-3,-2,0
51369387676,1,-1,1,-1,1,0,0,-2
51369388350,-2,-1,0,0,-3,-1,1,-1
51369388350,0,-1,-1,3,3,0,-2,-2
51369402611,-2,-3,-1,-8,-10,0,-1,-2
51369402611,-1,-1,-2,-2,-2,0,-1,-1
51369403232,-1,-2,-4,-2,-4,0,0,-1
51369403232,0,0,-1,1,1,-1,0,-2
51369425267,1,0,0,0,3,1,1,-1
51369425267,1,-3,0,-3,-3,-3,-1,-1
51369425657,-1,-1,1,-1,-3,-3,-1,-3
51369425657,-2,0,0,-1,1,-1,-1,-2
51369447578,-3,-2,-1,-4,-5,-2,1,1
51369447578,0,-2,-2,-5,-2,-1,1,2
51369448260,0,-1,-1,7,2,-1,-2,-1
51369448260,-1,-1,-1,-5,-5,-3,0,0
51369463974,0,-2,-2,0,0,0,-2,-1
51369463974,-2,0,0,-4,-2,-1,-1,-2
51369464746,-1,0,-1,-3,1,2,2,-2
51369464746,-1,-2,-1,0,-4,-1,0,-2
51369485489,-2,-1,0,4,4,-1,-1,-1
51369485489,-1,-3,-4,-5,-1,0,-1,-1
51369492592,-1,-2,0,-1,-5,-2,-1,0
51369492592,1,-1,2,9,3,0,-1,-2
51369507598,-2,0,1,3,0,0,-2,-2
51369507598,-2,0,0,2,0,1,0,0
51369508255,-1,0,-3,-5,-1,0,0,-1
51369508255,-1,-3,-1,-1,0,0,-2,-1
51369522540,-1,-1,-1,0,1,-3,-2,-1
51369522540,-1,-1,0,2,1,-1,0,0
51369523252,-1,-1,0,-2,-2,-1,-2,-2
51369523252,-2,1,-1,-2,-1,-3,0,0
51369545043,0,-2,0,1,4,0,0,1
51369545043,0,-2,-2,-9,-10,-3,-1,0
51369545674,0,0,-2,0,0,-1,-3,-2
51369545674,0,0,-1,3,4,1,0,-2
51369567471,1,0,-4,-1,-4,0,-1,0
51369567471,0,2,-1,0,-2,-1,-2,-4
