timestamp,x,y,z
51448381649,11.0625,-22.5,-7.4375
51448405807,7.5,-23.375,-5.25
51448419166,4.4375,-22.6875,-5.125
51448440226,4.4375,-18.875,-5.375
51448456612,4.5625,-14.0625,-5.625
51448479128,3.5,-11.75,-4.1875
51448500229,4.625,-12.9375,-2.3125
51448516703,2.4375,-13.9375,-1.875
51448539139,-0.4375,-13.9375,-1.25
51448553439,0.75,-10.125,-1.75
51448577122,2.375,-5.75,-3.9375
51448599091,4.8125,-6.5625,-4.625
51448620383,8.1875,-8.375,-5.75
51448636681,7.5625,-7.625,-6.8125
51448659087,4.375,-2.625,-7.6875
51448680343,8.4375,1.5625,-7.125
51448696651,6.0625,-2,-6.5625
51448719296,4.4375,-7.1875,-5.1875
51448740218,7.875,-8.125,-4.4375
51448757089,10.0625,-3.75,-4.375
51448779224,5.75,-1.8125,-3.5
51448799989,1.75,-3.125,-1.1875
51448822637,0.25,-5.375,-2.6875
51448839118,11.8125,-3.0625,-3.0625
51448861671,9,-5.4375,-0.5625
51448884224,1.1875,-7.8125,0.8125
51448908270,3.8125,-6.125,0.6875
51448920412,2.6875,-6.4375,0.3125
51448936685,10.5625,-3.9375,-0.5625
51448959108,6.875,-6.25,1.625
51448980421,-0.3125,-7.4375,4.875
51448996672,-4.875,-7.75,3.875
51449027266,-3.3125,-4.875,1.625
51449040213,-0.1875,0.5,0.125
51449056634,-2,2.5,1.875
51449086702,-4.125,3.5625,4.5
51449108844,-4.6875,6,4.5625
51449116836,-5.1875,6.4375,4.8125
51449139236,-5.1875,7.75,3.4375
51449161668,-7.4375,9.375,-2.5
51449176681,-2.875,7.75,-7.4375
51449199214,2.8125,5.375,-3.3125
51449221718,-0.75,-5.625,9.5
51449236034,-11.375,-5.6875,14.625
51449259147,-13.6875,23,8.875
51449287772,-1.5,35.125,2.375
51449296042,11.125,25.5,2.5
51449319256,3,6.375,2.625
51449341663,8.75,-9.8125,4.875
51449364173,4.4375,-12.125,12.9375
51449386674,-12.4375,-24,32.1875
51449401649,-31.75,-26.625,45.3125
51449422881,-52.8125,-4.5,26.25
51449439194,-50.9375,19.5625,-9.25
51449461638,-10.125,57.375,-35.5
51449482737,15,95.5,-53.0625
51449498980,43.75,79.5625,-42.8125
51449521726,35.5,29,-18.125
51449542833,44.375,39.375,-8.6875
51449566670,-13.625,17.0625,15.5
51449589205,-48.0625,-26.0625,47.5
51449610240,-64.875,-33.6875,48.8125
51449619130,-65.625,-18.4375,25
51449642228,-30.375,26.625,12.6875
51449664137,-3.5625,75.375,-15.3125
51449679234,19.4375,82.125,-29.6875
51449701652,43.625,49.4375,-26.8125
51449739922,17.0625,12.6875,-17.0625
51449742199,23.9375,38.875,-3.9375
51449769183,10,20.8125,22.875
51449791777,-22.5,-19.25,50.8125
51449799263,-54.125,-12.9375,52
51449821679,-59.8125,20.75,25
51449842982,-25.8125,57.375,11.25
51449866707,22.375,92.6875,-4.4375
51449881687,56.125,85.0625,-9.1875
51449902757,53.9375,32.25,-0.625
51449920193,42.625,48.125,-11.3125
51449941742,4,19.1875,2.25
51449962819,-20.125,-34,22.4375
51449978554,-38.625,-59.1875,21.5
51450001691,-48.125,-25.8125,-2.25
51450023633,-37.9375,35.375,-24
51450038535,7.4375,80.8125,-23.5
51450070661,67.125,92.0625,-24.5
51450084192,73.5,51.5625,-11.6875
51450098526,50.25,16.125,-13.9375
51450122630,45.9375,7.625,-8.5625
51450144219,-0.3125,-35,6.875
51450158590,-36.1875,-88.1875,21.9375
51450181695,-46.75,-104.562,16.25
51450204260,-49.3125,-57.75,-9.3125
51450219030,-42.4375,-2.9375,-30.5
51450241700,7.1875,34.5625,-30.125
51450271682,49.0625,41.1875,-28.1875
51450278542,64.9375,22.8125,-21
51450301693,53.375,12.375,-27.6875
51450325224,48.6875,9.5,-18.1875
51450352789,5.1875,-30.1875,-0.875
51450361709,-23.375,-77,11.625
51450384671,-39.1875,-105.438,11.1875
51450405052,-46.4375,-94.875,-1.875
51450423144,-39.875,-49.1875,-11
51450444220,-11.125,0,-11.4375
51450472803,10.0625,24.0625,-17.9375
51450481662,35.6875,27.875,-29.1875
51450504220,44.6875,6.375,-29.375
51450526756,39.625,-12.8125,-18.9375
51450549231,28.6875,9.375,-3.6875
51450571706,-13.25,-14,7.6875
51450585249,-12.375,-48.0625,19
51450602174,-15.9375,-54.9375,14.625
51450624225,-29.875,-31.75,5.5
51450645280,-15.3125,5.5,-9.3125
51450661725,8.4375,27.4375,-18.4375
51450684210,26.5625,18,-11.5
51450705284,33.75,3.8125,-6.0625
51450721737,26,8.6875,0.6875
51450751698,5.8125,-5.875,13.4375
51450772749,-4.6875,-27.125,24.9375
51450781662,-28,-40.3125,19.125
51450804211,-38.9375,-34.0625,5.4375
51450826755,-19.5625,-12.25,-4.5625
51450847793,0.1875,15.3125,-18.0625
51450864210,23.125,20.5,-27.4375
51450885247,19.125,4.0625,-28.9375
51450902202,24.8125,16.1875,-28.5
51450924245,14.0625,16.0625,-13.0625
51450954215,2.25,-8.9375,7
51450961022,-8.8125,-29.3125,20.625
51450984173,-28.125,-40.3125,21.375
51451006759,-34.8125,-38.5625,16.375
51451027751,-18.75,-19.25,6.1875
51451044226,-1.1875,6.625,-6.75
51451066749,20.0625,18.4375,-17.25
